gene	Ctrl1-SRR5136882	Ctrl2-SRR5136883	Ctrl3-SRR5137136	ZIKV1-SRR5137139	ZIKV2-SRR5137142	ZIKV3-SRR5137144
Cfap58	85.54167084	96.76498631	73.98831794	59.83213031	82.58735789	72.18316557
Cfap61	206.633127	260.4515519	371.0976572	147.2060349	177.4749606	153.3892268
Cfap65	153.308449	307.4775266	305.2018115	181.3958236	137.0598705	104.2645725
Cfap69	796.5373765	928.7629994	1187.281289	799.6611701	774.036833	797.0224532
Cfap70	75.54329373	144.6953066	182.6586599	115.8653952	130.0311592	141.3586992
Cfap73	21.10768501	28.93906132	35.8380915	38.93837052	33.38637872	57.14500608
Cfap74	441.0395237	494.6770795	472.8315943	434.0203738	316.2920089	403.0226744
Cfap77	69.98863978	50.64335732	68.2079806	77.87674103	67.65134636	71.1806216
Cfap97	2311.846974	2357.629152	2085.545712	2539.541531	2372.190067	2476.283597
Cfap97d1	7.776515531	2.713036999	4.624269871	9.49716354	5.271533482	3.007631899
Cfap97d2	49.99188556	48.83466599	58.95944086	84.52475551	44.8080346	58.14755004
Cfap99	59.99026267	36.17382666	69.36404807	50.33496676	36.02214546	44.11193452
Cfb	17.77489264	18.08691333	8.092472275	330.5012912	246.0048958	314.7988054
Cfc1	5.554653951	6.330419665	4.624269871	5.698298124	6.150122396	5.012719831
Cfd	2.22186158	0.904345666	0	9.49716354	7.907300223	15.03815949
Cfdp1	8167.563169	7590.173178	7454.323032	5201.596471	7661.295328	6462.398407
Cfh	2305.18139	1118.675589	2364.157972	4072.383726	805.6660339	1502.813405
Cfhr2	2.22186158	0	0	3.798865416	0	0
Cfi	6.665584741	8.139110998	18.49707948	104.4687989	101.916314	82.20860523
Cfl1	70088.62355	65601.23464	66102.78174	41061.93628	60802.74577	55115.85709
Cfl2	14224.35784	14362.81787	13907.49164	10184.75818	11300.41061	10918.70634
Cflar	1883.027689	1572.657114	1627.742995	4829.30766	3061.003775	3945.010507
Cfp	216.6315041	233.3211819	302.8896766	844.2978387	471.8022467	640.6255944
Cftr	54.43560872	83.19980131	72.83225047	256.4234156	273.2411522	207.526601
Cga	5.554653951	5.426073998	5.780337339	7.597730832	0	6.015263798
Cgas	164.4177569	172.7300223	146.8205684	568.8800961	549.1180711	602.5289237
Cggbp1	10930.44804	10786.13076	10331.77496	10772.6326	10568.54604	10627.96859
Cgn	987.6174725	1294.118649	1416.182648	909.8282672	704.6283088	764.9410463
Cgnl1	2036.336138	1433.387881	1976.87537	2573.731319	1815.164696	1686.278951
Cgref1	3259.470938	3573.974074	3249.705652	1722.785466	2538.243372	2171.510231
Cgrrf1	339.9448218	279.4428109	282.0804621	760.7227996	658.9416853	745.8927109
Ch25h	28.88420054	35.26948099	39.30629391	732.231309	457.744824	712.80876
Chac1	534.3577101	481.1118945	510.9818208	1412.228218	1529.623299	1477.749806
Chac2	1256.462724	1288.692575	1112.136904	1374.239564	1940.80291	1574.996571
Chad	35.54978529	13.565185	21.96528189	35.1395051	16.69318936	15.03815949
Chadl	1474.205159	1560.90062	1576.876026	914.5768489	1139.529821	943.3938723
Chaf1a	858.7495008	772.3111991	938.7267839	850.9458532	732.743154	789.0021014
Chaf1b	552.1326027	569.7377698	569.9412616	847.1469878	781.0655443	771.958854
Champ1	7187.722212	7601.929672	7124.843804	6136.117364	6251.160121	6419.289016
Chat	71.09957057	44.31293765	53.17910352	44.63666864	28.99343415	29.07377502
Chchd1	2467.377285	2374.81172	2478.608651	2198.59336	3111.961932	2611.627032
Chchd10	2003.008215	2021.212564	1627.742995	1337.200626	1382.020361	1242.151974
Chchd2	15308.62629	16402.11735	14139.8612	11501.06505	15674.02622	14124.84194
Chchd2-ps	2.22186158	9.94780233	13.87280961	17.09489437	12.30024479	4.010175865
Chchd3	4195.985594	4086.738066	3690.167357	3745.6813	4809.395714	4296.903439
Chchd4	2993.958479	3042.218822	2776.874058	2198.59336	2820.270413	2400.090255
Chchd5	693.2208131	664.6940648	664.738794	751.2256361	880.3460915	795.0173652
Chchd6	3954.913613	3564.026271	3669.358143	2475.910535	3682.166137	3028.685322
Chchd7	709.8847749	694.5374718	714.4496951	1031.39196	1132.50111	1031.617741
Chd1	3809.381679	3801.869182	3295.948351	4702.045669	3870.184165	4256.801681
Chd1l	442.1504545	455.7902159	522.5424954	732.231309	587.7759833	699.7756884
Chd2	6587.819586	6674.071018	6912.12739	8595.88272	6187.02313	7736.631788
Chd3	83006.52678	84587.06756	85537.43194	37666.70032	47647.63397	41666.72978
Chd4	24793.75337	24064.63818	25803.42588	24371.62108	20380.62703	22418.88817
Chd5	31567.0984	32343.92276	34056.59153	13711.055	15363.00575	14802.56166
Chd6	10351.6531	10313.15798	11041.60038	10127.7752	8446.753816	9012.870257
Chd7	3529.42712	3327.087707	3538.722519	4273.723593	3132.169477	3642.242229
Chd8	12990.11373	12993.63853	13750.26646	11462.12668	9798.902155	10861.56133
Chd9	8643.041547	8656.396719	9104.031309	8291.023771	6890.77285	7753.675035
Chdh	203.3003346	243.2689843	205.7800093	246.9262521	140.5742262	160.4070346
Chek1	314.3934136	295.7210329	295.9532718	719.8849964	661.577452	642.6306824
Chek2	166.6396185	183.5821703	219.6528189	274.4680263	284.662808	242.6156398
Cherp	4160.435809	4212.442114	4073.981757	4700.146236	4011.63698	4664.837075
Chfr	5115.836289	5266.909161	5247.390236	3500.654481	3642.629636	3607.153191
Chga	10747.14446	11458.05959	10921.36937	7228.291171	9073.187712	8129.629022
Chgb	14684.28318	13855.47995	13828.87905	7854.154248	9980.77006	9100.091582
Chia1	33.3279237	97.66933197	58.95944086	62.68127937	61.50122396	60.15263798
Chic1	2302.959528	2234.638142	2068.2047	2676.300686	2396.790557	2356.980865
Chic2	2975.072656	2914.706083	3547.971059	3802.664282	3920.263733	3951.025771
Chid1	3843.820534	3905.868933	3723.693314	3293.616316	3982.643546	3451.758876
Chil1	96.65097874	80.48676431	107.5142745	806.3091846	330.3494316	729.8520074
Chil3	3.33279237	3.617382666	2.312134936	28.49149062	1.757177827	13.03307156
Chil4	0	1.808691333	0	4.74858177	4.392944569	0
Chil5	13.33116948	12.66083933	18.49707948	20.89375979	20.20754502	22.05596726
Chil6	0	0	2.312134936	17.09489437	10.54306696	12.0305276
Chit1	22.2186158	37.98251799	19.65314695	11.39659625	27.23625632	31.07886295
Chka	3733.838386	4289.311496	4956.061234	6113.324171	5130.959256	5469.87988
Chkb	107.7602866	125.7040476	166.4737154	178.5466746	138.8170484	175.4451941
Chl1	96325.47602	101094.9934	96640.3039	34794.75806	43451.49332	40896.77602
Chm	4851.434761	4873.518796	4930.62775	4268.975011	4896.376016	4640.77602
Chml	3833.822157	3790.112688	3689.01129	1768.371851	1935.531377	1818.614755
Chmp1a	9468.463125	9624.046582	9130.620861	7356.502878	8342.201736	8342.168343
Chmp1b	1995.231699	2064.621156	1936.413009	2281.218682	2104.220448	2310.863842
Chmp2a	4650.356288	4618.493318	4546.813351	5210.143918	5948.925535	6307.004092
Chmp2b	9085.192002	8874.344024	8297.096216	5774.275433	6647.403721	6339.085499
Chmp3	5945.701589	6137.794038	5838.140712	3867.244994	4692.543388	4365.076429
Chmp4b	11425.92318	10408.11427	10752.58352	11783.1308	12126.28419	12079.65225
Chmp4c	123.3133177	153.7387633	132.9477588	226.0324923	131.7883371	168.4273863
Chmp5	5533.546266	5383.569752	5342.187769	5003.105753	6503.315139	6223.792943
Chmp6	2605.132703	2132.447081	2508.666405	1825.354832	2012.847201	2122.385577
Chmp7	9927.277541	10163.0366	9356.054017	5849.303025	7053.311799	6592.729122
Chn1	9042.976632	9831.141739	9182.643897	4368.695229	5946.289768	5237.28968
Chn1os3	21.10768501	42.50424632	25.43348429	41.78751958	28.11484524	31.07886295
