name	CTRL-1	CTRL-2	CTRL-3	CTRL-4	CTRL-5	CTRL-6	CTRL-7	CTRL-8	ZIKV-1	ZIKV-2	ZIKV-3	ZIKV-4	ZIKV-5	ZIKV-6	ZIKV-7	ZIKV-8
Carbamoylphosphate	1.27499E-05	8.48482E-06	8.7398E-06	9.46312E-06	8.85339E-06	1.13463E-05	1.15748E-05	1.15193E-05	2.98125E-05	3.20353E-05	2.61872E-05	5.57959E-05	2.63252E-05	4.46149E-05	5.7365E-05	2.14119E-05
Gluconic acid	0.001780432	0.001784935	0.001652486	0.001441826	0.001600824	0.001500841	0.001523733	0.001927398	0.002022453	0.002349219	0.00223464	0.002149124	0.001785765	0.002635932	0.0026303	0.002415166
Carnitine-C8	0.002515661	0.002766772	0.00332772	0.004507943	0.002130559	0.002660613	0.002736134	0.001878564	0.004825328	0.004614159	0.00540466	0.004976683	0.006100928	0.004723704	0.005894514	0.003384385
Phospho-L-serine	9.16653E-05	7.69555E-05	0.000111272	0.000100226	9.41871E-05	6.96563E-05	9.4429E-05	0.000100279	0.000111327	0.000131445	0.000181618	0.000138964	0.000186673	0.000124687	0.000162914	0.000143317
Malate	0.008859943	0.008943674	0.008471635	0.008322991	0.007804298	0.009239138	0.008884856	0.008884482	0.00677795	0.006965253	0.007465815	0.007297127	0.008214832	0.007865377	0.007833293	0.007308077
2-Aminoadipic acid	0.000516391	0.000475461	0.000478311	0.000467936	0.000446715	0.000504191	0.000511325	0.000478164	0.000488231	0.000765191	0.000662697	0.000847576	0.000969663	0.000739107	0.000711102	0.000741675
Phosphoethanolamine	0.006728563	0.007181146	0.007208151	0.006677748	0.007822919	0.006484628	0.007425125	0.00757941	0.006574373	0.005766442	0.006181986	0.005165872	0.005718916	0.006037176	0.005647396	0.006442549
Isoleucine	0.001876713	0.002377484	0.001974216	0.00181172	0.001133739	0.001107799	0.001739071	0.001347911	0.00194129	0.002654264	0.002997893	0.003021208	0.00268842	0.002527005	0.003381795	0.002930237
Tryptophan	0.001577072	0.001292482	0.000978025	0.000639692	0.00118285	0.001236451	0.001229835	0.000510736	0.003190589	0.00484629	0.001694095	0.008101783	0.004712272	0.006351724	0.006511965	0.003325653
Carnitine-C4	0.010466939	0.009455078	0.01053837	0.010643916	0.009412362	0.009271412	0.009514945	0.010676885	0.010100528	0.007533128	0.007096837	0.005642643	0.008336089	0.005954017	0.006397106	0.006351333
Glycerophosphorylcholine	0.020225811	0.022795118	0.023575546	0.022354296	0.022448718	0.020950975	0.019403303	0.023656159	0.012626533	0.01443685	0.016099446	0.015028735	0.017426349	0.020026746	0.017069959	0.020143687
Uracil	6.9649E-05	7.40793E-05	7.45965E-05	8.59295E-05	7.59022E-05	5.48285E-05	5.3128E-05	7.46081E-05	0.000238308	0.000312754	0.000213252	0.000595447	0.000364944	0.000509487	0.00082019	0.000338869
Hypoxanthine	0.006645815	0.004101839	0.006705491	0.0069076	0.003661145	0.004301597	0.0046285	0.004473606	0.006030538	0.00927713	0.007655158	0.010958136	0.00793031	0.00872726	0.009155367	0.008248975
Acetylcarnitine	0.00436597	0.003835377	0.004497045	0.004381617	0.003564835	0.004265629	0.004048184	0.003833205	0.005522927	0.005575279	0.004962399	0.006319676	0.007089623	0.005539527	0.007414242	0.004409923
Carnitine-C12	0.001734089	0.002288288	0.001976809	0.002940871	0.001703272	0.002168995	0.001558904	0.001160557	0.00242221	0.004144165	0.005298999	0.002636584	0.004704016	0.00463702	0.003225785	0.00357307
Carnitine-C14	0.001209604	0.001322287	0.00117419	0.001408249	0.000943491	0.000828578	0.000463497	0.000652035	0.001683746	0.007897108	0.006694999	0.002222954	0.005361961	0.005587467	0.002842318	0.004582703
Phosphocreatine	0.005355706	0.006785957	0.005981851	0.005250438	0.008852045	0.006568745	0.007462351	0.008378188	0.005346775	0.004021101	0.003945221	0.003013631	0.004898093	0.003699603	0.002758143	0.005468316
2-Phosphoglyceric acid	0.00062774	0.000560582	0.000585374	0.000449616	0.000444344	0.000488706	0.000641528	0.000688504	0.000477871	0.000351865	0.000463707	0.000165864	0.00037708	0.000253056	0.000209296	0.000355446
Orotic acid	5.41569E-05	5.67148E-05	4.92352E-05	5.22927E-05	5.85723E-05	6.21246E-05	6.08979E-05	5.97688E-05	5.658E-05	7.2272E-05	0.00010378	0.000102507	0.000129256	0.000118481	0.000123307	7.92174E-05
Fructose 1,6-bisphosphate	0.029667762	0.028744027	0.033921992	0.035703879	0.029676925	0.031525619	0.031467796	0.03070233	0.030726086	0.026418543	0.026162699	0.017120584	0.023516434	0.019748972	0.016895909	0.024802715
Allantoin	0.000304355	0.000281769	0.000323244	0.000365519	0.000266996	0.000280517	0.000329055	0.000354185	0.000371369	0.000512816	0.000410526	0.000648722	0.000412817	0.000590615	0.000697271	0.000415299
3-Ketodihydrosphingosine	1.43644E-06	1.14449E-06	1.03339E-06	1.36364E-06	6.54E-07	7.93702E-07	6.40604E-07	1.52319E-06	3.91174E-06	5.8684E-05	6.8063E-05	5.39341E-05	2.51459E-05	3.01834E-05	7.84667E-06	4.40415E-05
ADP	0.187661385	0.175745566	0.183484728	0.191595281	0.174491119	0.183743204	0.186189748	0.181175034	0.176137941	0.162088502	0.173271549	0.1737634	0.172321924	0.158021296	0.164944262	0.175783286
Ethanolamine	7.62729E-05	8.1857E-05	5.78558E-05	5.68615E-05	8.33785E-05	7.21737E-05	7.24085E-05	6.91147E-05	0.000112519	0.000147189	0.000165151	0.000456539	0.000234955	0.000275344	0.000270446	0.000180657
dTMP	1.37778E-05	1.14286E-05	1.19956E-05	1.57352E-05	1.09339E-05	1.2369E-05	1.15135E-05	1.03924E-05	2.19726E-05	2.74104E-05	3.0476E-05	7.65782E-05	2.40077E-05	3.72079E-05	4.27751E-05	4.27838E-05
Citrulline	0.001742844	0.002275521	0.001844181	0.001545315	0.001623767	0.001730686	0.001683761	0.001617736	0.002392079	0.002403334	0.002193156	0.002188441	0.002518959	0.002154972	0.001757522	0.002768085
Pyridoxine	2.5106E-05	2.21249E-05	1.34733E-05	8.39169E-05	1.97931E-05	2.69427E-05	3.82445E-05	4.29354E-05	4.08341E-05	7.09697E-05	6.14561E-05	9.64934E-05	8.10481E-05	0.000104677	0.000112173	6.9183E-05
Kynurenine	0.000449655	0.000323529	0.000557781	0.000257164	0.000497746	0.000512763	0.00046983	0.000195388	0.003774819	0.002804472	0.000340061	0.003452311	0.001907998	0.002393125	0.003244582	0.000321485
Betaine	0.013393964	0.013093429	0.011054708	0.010535284	0.013074696	0.011814243	0.0118635	0.012944194	0.014864427	0.018201151	0.023125257	0.024658126	0.016245317	0.022268043	0.022734706	0.010862617
Trimethyllysine	0.000830479	0.000916199	0.000939292	0.000938271	0.001110477	0.001046079	0.000870116	0.001040307	0.000951314	0.001137012	0.001032672	0.001287433	0.001233701	0.001313104	0.00133958	0.001350986
sn-Glycerol 3-phosphate 	0.004546317	0.003601843	0.004674964	0.00406941	0.002963361	0.002665782	0.003656735	0.003965161	0.002830577	0.002922942	0.003138188	0.002455362	0.002998297	0.002585472	0.002422446	0.002677027
2'-Deoxyadenosine	2.70547E-05	3.55659E-05	3.91752E-05	2.81372E-05	3.94263E-05	3.95039E-05	3.55085E-05	3.62049E-05	6.76973E-05	5.9014E-05	3.94391E-05	3.52155E-05	6.15481E-05	5.39906E-05	4.23819E-05	6.06454E-05
Proline	0.018132738	0.013128502	0.011148164	0.008415654	0.010519128	0.010937071	0.009517123	0.012638429	0.008433988	0.008370503	0.008638384	0.00732478	0.006417282	0.007924548	0.007009519	0.007260024
NADP	0.001360945	0.001167753	0.001022372	0.000843728	0.000897198	0.001335799	0.001218298	0.00094018	0.001088474	0.000557542	0.001011009	0.000602001	0.000555359	0.000347309	0.000417246	0.000672042
3-Ureidopropionic acid	0.000264543	0.000185588	0.000123224	0.00012845	0.000109055	0.000110274	0.000157944	0.00017545	0.001233873	0.002397837	0.000603309	0.002219119	0.000638539	0.002581659	0.003815973	0.000500849
Xanthine	0.002477703	0.002808435	0.002853751	0.002812939	0.003030678	0.002928977	0.002759281	0.003222458	0.002687875	0.003381582	0.003647397	0.003761566	0.003842895	0.004051865	0.004314645	0.005276478
3-OH-anthranilate	2.90743E-07	2.98845E-07	3.01388E-07	2.77804E-07	3.16823E-07	2.95786E-07	3.11395E-07	3.27623E-07	2.86717E-05	3.13799E-05	3.00255E-07	5.24844E-05	2.55756E-05	2.16006E-05	5.99501E-05	3.31275E-07
S-Adenosyl-methionine	0.008202046	0.007453532	0.007405458	0.007897394	0.008088182	0.007247009	0.007923175	0.007427693	0.010104714	0.009506181	0.008131394	0.008479446	0.009648782	0.008870136	0.008039645	0.011664446
6-Phosphogluconic acid	0.000725312	0.001017518	0.000833541	0.000765641	0.001210603	0.001122988	0.001139398	0.001025782	0.000863043	0.000701108	0.000746772	0.000591195	0.000754037	0.000717926	0.000584681	0.00081221
UDP	0.080114504	0.070392222	0.071344615	0.083856075	0.066202783	0.085260398	0.080657513	0.075183939	0.072699331	0.070817952	0.068396534	0.065725058	0.051481906	0.045407603	0.040082517	0.057612165
Gluconolactone	9.25738E-06	9.95911E-06	9.79667E-06	9.57903E-06	1.34353E-05	9.46297E-06	1.00932E-05	1.26957E-05	1.00828E-05	7.00172E-06	9.01761E-06	8.55874E-06	8.31452E-06	6.76454E-06	7.43461E-06	7.76673E-06
Carnitine-C3	0.003911439	0.00334213	0.003651098	0.003412075	0.003402343	0.003523409	0.00382088	0.003203392	0.007436042	0.006842092	0.005829263	0.005628531	0.005003621	0.003605882	0.004924718	0.003209896
Uridine	2.07359E-05	1.80065E-05	2.02483E-05	3.0035E-05	1.6133E-05	1.7423E-05	1.93401E-05	1.85431E-05	3.55142E-05	5.1304E-05	3.40119E-05	6.39243E-05	5.10869E-05	0.000119589	0.000145812	5.26385E-05
Malonate	5.35643E-05	5.81109E-05	6.42417E-05	6.41195E-05	6.75032E-05	5.86545E-05	5.6132E-05	6.54662E-05	5.84807E-05	8.71449E-05	6.3494E-05	7.52065E-05	0.000113188	9.18851E-05	8.36239E-05	7.95843E-05
Acetylcholine	0.029181225	0.028685508	0.042066774	0.02580009	0.043961391	0.026604249	0.034838656	0.032020117	0.013880061	0.019224438	0.020995461	0.019313545	0.023752679	0.033205943	0.027639731	0.022010866
2-Aminooctanoic acid	0.00014641	0.000147518	0.000102661	9.99203E-05	8.25826E-05	9.02676E-05	7.7661E-05	0.000130936	0.000184679	0.000217899	0.000246443	0.000164149	0.000275223	0.000422245	0.000156035	0.000571183
1-Methyladenosine	0.000676615	0.000669546	0.000640733	0.000605661	0.000641458	0.000685469	0.000633843	0.000716556	0.000643552	0.000681753	0.000745681	0.000718057	0.000758327	0.000808398	0.000891349	0.000816376
dCDP	0.000130915	0.000117866	0.000123011	0.000147612	0.000116605	0.00015413	0.000139747	0.000135482	8.95189E-05	0.000106425	0.000124388	0.000145123	8.14853E-05	9.25221E-05	9.89014E-05	0.000102072
3,4-Dihydroxyphenylacetic acid	9.85829E-06	9.34529E-06	1.05023E-05	1.206E-05	1.08958E-05	1.16567E-05	1.26902E-05	1.28139E-05	9.83231E-06	7.3879E-06	6.37928E-06	6.85331E-06	1.14971E-05	7.35728E-06	1.0509E-05	9.2721E-06
Indole-3-carboxylic acid	5.33657E-06	5.73654E-06	7.44328E-06	1.6533E-05	6.30059E-06	6.54167E-06	7.75849E-06	5.69633E-06	1.20607E-05	1.57829E-05	8.43614E-06	2.58642E-05	1.59926E-05	2.34967E-05	4.26553E-05	1.86046E-05
Carnitine	0.004865599	0.004775594	0.005480239	0.005133832	0.005408051	0.005108737	0.004974748	0.005504833	0.008768544	0.007554422	0.007115949	0.005471947	0.006394063	0.00560485	0.00596732	0.005406409
5-Hydroxylysine	3.34392E-05	3.776E-05	3.88388E-05	5.30324E-05	3.95996E-05	3.8658E-05	3.18889E-05	3.70906E-05	3.80871E-05	6.03481E-05	6.74255E-05	8.26176E-05	6.12518E-05	0.000134637	0.000147594	6.79977E-05
N-Acetyl-L-alanine	0.000802755	0.000771196	0.000738868	0.000664925	0.000814053	0.000800964	0.000811435	0.000814498	0.000757088	0.000837702	0.000922924	0.000883614	0.000831538	0.000940811	0.00087264	0.000869345
Creatinine	0.001773338	0.001895234	0.001878685	0.001556453	0.002078951	0.002041593	0.002143752	0.002475092	0.001865805	0.001485599	0.001595843	0.001242081	0.001636684	0.001658043	0.001476282	0.001854222
Pyroglutamic acid	0.000351948	0.000275019	0.000340973	0.000449252	0.000280699	0.000383017	0.000412164	0.000322388	0.000348939	0.000456475	0.000387381	0.000423703	0.000517164	0.000626375	0.000465835	0.000512608
XMP	0.001212369	0.000696062	0.000651231	0.000636173	0.000270818	0.000962075	0.000873227	0.000418959	0.000515966	0.000287571	0.000449076	0.000676114	0.000236852	0.000128447	9.62315E-05	0.000189165
Alpha-D-Galactose 1-phosphate	0.007595476	0.00833906	0.00666868	0.006253124	0.009004448	0.008301302	0.008034672	0.009958093	0.006797746	0.006363132	0.006721545	0.005887858	0.006499551	0.006747008	0.005048414	0.007796483
GSH	0.026975744	0.027513446	0.026097727	0.028790801	0.029061504	0.026667289	0.026989969	0.02429634	0.027435934	0.024403282	0.024911394	0.020011287	0.023943025	0.022398864	0.02135899	0.02674688
Tyrosine	0.002995773	0.003171074	0.003273191	0.002860131	0.002922035	0.003030906	0.002881672	0.002414099	0.001990203	0.003382796	0.004899888	0.00480784	0.005295037	0.005781331	0.004128008	0.003581934
Riboflavin	0.000353345	0.000445808	0.000513088	0.000818066	0.001025396	0.000634387	0.000187049	0.000940258	0.000875387	0.001352679	0.000608634	0.000651124	0.001538365	0.001874793	0.001069846	0.002138094
Leucine	0.003729369	0.004066472	0.004039415	0.003633226	0.002895928	0.002526205	0.003257156	0.002889469	0.004060676	0.005334632	0.005055466	0.00410256	0.004125332	0.004631697	0.004493157	0.002882868
Pyridoxal 5'-phosphate	0.001127851	0.001067454	0.001001561	0.000934686	0.00107876	0.001030822	0.001085929	0.001052164	0.00119789	0.001129123	0.00122825	0.001328302	0.001045069	0.001219877	0.001086198	0.001065306
Histidine	0.00187383	0.002509411	0.002225081	0.00191231	0.002254368	0.002201379	0.002251735	0.001814972	0.002485209	0.002604888	0.003677024	0.002343211	0.003391014	0.002376524	0.002128456	0.003961009
Isocitrate	0.000196071	0.000238667	0.000172613	0.000152334	0.000244755	0.000199896	0.000231666	0.000247187	0.000230396	0.000239667	0.000249818	0.000191645	0.00030557	0.000301059	0.000288832	0.000293347
Carnitine-C6	0.000885743	0.001002429	0.001163843	0.001213174	0.000773061	0.001033742	0.000932422	0.000749823	0.001503655	0.001455811	0.001416614	0.001393755	0.001806395	0.000860494	0.000957843	0.001058853
cAMP	0.000725607	0.000602635	0.000610349	0.000668361	0.000739476	0.000533925	0.000677036	0.000636711	0.000525588	0.000565358	0.000494058	0.000522508	0.000529445	0.00070295	0.000623688	0.000464181
AICAR	0.000100844	9.48575E-05	0.000101887	9.88557E-05	0.000135782	0.000119147	0.000145802	9.83748E-05	0.00010446	0.000120498	0.000126023	0.000207556	0.000155584	0.000281118	0.000229905	0.000152315
2-Hydroxyisocaproic acid	0.000475664	0.00041362	0.000416732	0.000117192	0.000576793	0.000617009	0.000348394	0.000675233	0.000279802	0.000571718	0.000272729	9.66559E-05	0.000163995	0.000286589	0.000107738	5.66711E-05
Dopamine	0.000130269	0.000151539	0.000134157	3.73629E-06	6.17579E-06	0.000144727	0.000146676	0.000109093	3.55694E-05	1.64299E-05	0.000101858	5.75866E-05	5.41974E-05	2.41322E-06	1.44211E-06	3.84484E-05
Fumaric acid	0.000482154	0.0004552	0.000403667	0.000402817	0.000425456	0.000450431	0.000449636	0.000437167	0.000346305	0.000397139	0.000398829	0.000424239	0.000402956	0.000444827	0.000418076	0.000403531
Glutamate	0.004272576	0.004111869	0.004056915	0.004130556	0.00438701	0.004450919	0.004385721	0.004220173	0.003889899	0.003675	0.004061501	0.003928916	0.004482645	0.003844682	0.003925362	0.004260018
Glucarate	9.51262E-05	9.17994E-05	0.000104763	0.000105821	0.000102016	0.000100766	0.000102445	0.000105715	0.000111032	0.000122313	0.000107636	0.000117848	9.73679E-05	0.000115899	0.000104261	9.97081E-05
Biotin	0.000364684	0.000337952	0.000781153	0.000462002	0.000791206	0.000729642	0.000943646	0.000946443	0.000548892	0.001437398	0.000368498	0.001143388	0.000926757	0.002399841	0.001769877	0.001305118
5-Aminolevulinic acid	0.000193241	0.000303865	0.000405115	0.000375629	0.000312636	0.000329674	0.000378077	0.000252052	0.000420637	0.000396526	0.000356371	0.000386881	0.000351703	0.000424412	0.000306803	0.000521942
Anthranilate	2.25173E-05	1.32486E-05	1.59396E-05	1.38941E-05	2.51354E-05	2.75584E-05	1.99172E-05	9.27668E-06	2.43391E-05	2.55917E-05	1.10976E-05	8.59354E-05	4.51467E-05	4.58833E-05	7.08416E-05	1.5592E-05
