name	CTRL-1	CTRL-2	CTRL-3	CTRL-4	CTRL-5	CTRL-6	CTRL-7	CTRL-8	ZIKV-1	ZIKV-2	ZIKV-3	ZIKV-4	ZIKV-5	ZIKV-6	ZIKV-7	ZIKV-8
N-Acetyl-D-glucosamine 6-phosphate	0.001206539	0.00122104	0.001133359	0.001083119	0.001278979	0.001170906	0.001259698	0.001457682	0.000957642	0.001033464	0.001224155	0.001440739	0.001065281	0.001102543	0.001012198	0.00126208
dUMP	3.65819E-05	3.91359E-05	3.63871E-05	3.32608E-05	3.43486E-05	3.71141E-05	3.91765E-05	3.04857E-05	4.18236E-05	3.65796E-05	5.05889E-05	7.08479E-05	3.15419E-05	3.32536E-05	3.20095E-05	3.46218E-05
Pantothenic acid	0.005336759	0.005718927	0.007320969	0.007359694	0.00791628	0.007065228	0.006798783	0.007871794	0.006420565	0.006375764	0.005739433	0.006029575	0.007541406	0.006983385	0.00687275	0.005986374
Hydroxyglutaric acid	0.001923349	0.001956857	0.002014553	0.00043257	0.000506288	0.000479837	0.000575547	0.002402915	0.000320881	0.000368865	0.000317641	0.000364889	0.001390872	0.002152358	0.001739974	0.000421817
UMP	0.004496359	0.00401682	0.004353171	0.006119918	0.00414246	0.005627549	0.004772634	0.004679228	0.00363819	0.005132407	0.004225137	0.005315795	0.004164841	0.004006001	0.004399682	0.004708035
Alanine-Sarcosine	0.001334921	0.001277419	0.000953935	0.001004258	0.001421862	0.00162432	0.001237909	0.00122851	0.001322166	0.001346416	0.001846351	0.000964104	0.001274304	0.001601447	0.001089635	0.001596539
Asparagine	0.000593059	0.000637935	0.000714122	0.00067597	0.000663873	0.000688141	0.000660568	0.000738731	0.000572362	0.000690365	0.000516728	0.000533435	0.000550394	0.000765388	0.000701145	0.000755177
Spermine	0.008952852	0.005057599	0.00477756	0.019407227	0.01590501	0.006590156	0.006309642	0.008104226	0.01667587	0.008308203	0.004482804	0.004295646	0.007570495	0.015410884	0.038775213	0.008660635
Inositol	0.000164927	0.000157201	0.000185199	0.000178716	0.000190638	0.000163502	0.000171279	0.000212217	0.00017281	0.000170696	0.000171064	0.000160697	0.000160029	0.000248807	0.000209596	0.000213724
Cholic acid	5.89869E-08	9.33388E-08	6.54943E-08	2.95927E-07	9.06884E-08	6.32413E-08	3.11245E-07	1.37925E-07	6.96579E-08	1.3586E-07	1.05724E-07	1.0391E-07	8.28499E-08	5.81903E-07	5.08682E-07	5.52697E-08
3-Methoxytyramine	2.17643E-06	2.12554E-06	3.75076E-06	1.76923E-06	3.24969E-06	4.61631E-06	2.81125E-06	2.19008E-06	3.91155E-06	2.37241E-06	2.22953E-06	4.63421E-06	2.14621E-06	2.78687E-06	2.79545E-06	5.07449E-06
Putrescine	0.001487159	0.001393771	0.001316582	0.001191239	0.001204117	0.00132718	0.001576084	0.001480833	0.001674518	0.001565635	0.001227572	0.001161848	0.00126374	0.001108891	0.00069598	0.001535952
